,zipcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
182,80737,Tourist Information Center,Zoo,Garden Center,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
183,80742,Stables,Outdoors & Recreation,American Restaurant,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
184,80743,Farm,American Restaurant,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
185,80747,Border Crossing,Bar,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
186,80751,American Restaurant,Fast Food Restaurant,Hotel,Pizza Place,Mexican Restaurant,Bank,Department Store,Chinese Restaurant,Sandwich Place,Discount Store
187,80758,Convenience Store,Restaurant,American Restaurant,Discount Store,Golf Course,Café,Sandwich Place,Mexican Restaurant,Financial or Legal Service,Film Studio
188,80759,Sandwich Place,Golf Course,Fast Food Restaurant,Convenience Store,Pizza Place,Discount Store,Hotel,Farm,Farmers Market,Film Studio
189,80805,Farm,Sporting Goods Shop,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
190,80807,Fast Food Restaurant,Hotel,Mexican Restaurant,Convenience Store,Discount Store,Truck Stop,History Museum,Business Service,Transportation Service,Motel
191,80808,Zoo,Discount Store,Bar,Liquor Store,Scenic Lookout,Sandwich Place,BBQ Joint,Moving Target,Football Stadium,Fishing Store
192,80809,Gift Shop,National Park,Wine Bar,Theme Park,Mountain,Diner,Park,Forest,Flower Shop,Farmers Market
193,80810,Park,Recreation Center,Bar,Grocery Store,Pub,Scenic Lookout,Zoo,Flea Market,Farm,Farmers Market
194,80813,Casino,Hotel,American Restaurant,Food,Thrift / Vintage Store,Tourist Information Center,Mexican Restaurant,Campground,Café,Coffee Shop
195,80814,Other Great Outdoors,Tourist Information Center,Gastropub,Restaurant,Construction & Landscaping,Liquor Store,Food,Cable Car,Grocery Store,Flea Market
196,80815,Sandwich Place,Gas Station,Diner,Mobile Phone Shop,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
197,80816,Trail,National Park,Summer Camp,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
198,80817,Gas Station,Automotive Shop,Discount Store,Playground,Sandwich Place,Home Service,Video Store,Café,Pizza Place,Liquor Store
199,80820,Art Museum,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
200,80821,State / Provincial Park,Campground,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
201,80822,Restaurant,Zoo,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
202,80825,American Restaurant,History Museum,Moving Target,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
203,80827,Locksmith,Trail,Scenic Lookout,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
204,80828,Gas Station,Discount Store,Fast Food Restaurant,Hotel,Intersection,Coffee Shop,Pizza Place,Sandwich Place,Motel,Gift Shop
205,80829,Trail,American Restaurant,Bar,Ice Cream Shop,Dessert Shop,Pizza Place,Mountain,Tea Room,Gourmet Shop,Bed & Breakfast
206,80831,Home Service,Hardware Store,Night Market,Airport,Gym / Fitness Center,Athletics & Sports,Video Store,Zoo,Flower Shop,Farmers Market
207,80834,Campground,American Restaurant,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
208,80835,Intersection,Diner,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
209,80836,Food,River,Bed & Breakfast,Hotel,Motel,Zoo,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
210,80863,Fast Food Restaurant,Pizza Place,Grocery Store,Coffee Shop,Brewery,Sandwich Place,Convenience Store,Mexican Restaurant,Park,Salon / Barbershop
211,80902,Fast Food Restaurant,Clothing Store,Mobile Phone Shop,Hotel,American Restaurant,Sandwich Place,Asian Restaurant,Pizza Place,Thai Restaurant,Restaurant
212,80903,Coffee Shop,Bar,Mexican Restaurant,Pizza Place,American Restaurant,Italian Restaurant,Chinese Restaurant,Mediterranean Restaurant,Mobile Phone Shop,Gym
213,80904,Fast Food Restaurant,Park,Pizza Place,American Restaurant,Italian Restaurant,Gift Shop,Bakery,Trail,Liquor Store,Pub
214,80905,Intersection,Bar,Coffee Shop,Breakfast Spot,Convenience Store,Gym,Park,Trail,Café,Performing Arts Venue
215,80906,Coffee Shop,American Restaurant,Mexican Restaurant,Fast Food Restaurant,Italian Restaurant,Breakfast Spot,Supplement Shop,Sandwich Place,Burger Joint,Steakhouse
216,80907,Fast Food Restaurant,Coffee Shop,Pizza Place,Café,Bar,Chinese Restaurant,Sandwich Place,Brewery,Pet Store,Mexican Restaurant
217,80908,Home Service,Food,Pet Store,Construction & Landscaping,BBQ Joint,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
218,80909,Pizza Place,Liquor Store,Coffee Shop,Park,Construction & Landscaping,Sandwich Place,Salon / Barbershop,Athletics & Sports,Tree,Lawyer
219,80910,Convenience Store,Intersection,Hotel,Korean Restaurant,Sushi Restaurant,Construction & Landscaping,Fried Chicken Joint,Boutique,Baseball Field,Mexican Restaurant
220,80911,Fast Food Restaurant,Fried Chicken Joint,Discount Store,Chinese Restaurant,American Restaurant,Sporting Goods Shop,Video Game Store,Liquor Store,Coffee Shop,Sandwich Place
221,80913,Fast Food Restaurant,Deli / Bodega,Pizza Place,Fried Chicken Joint,Gym,Mexican Restaurant,Café,Thrift / Vintage Store,Farm,Caribbean Restaurant
222,80915,Convenience Store,Liquor Store,Fast Food Restaurant,Coffee Shop,Pizza Place,Sandwich Place,Golf Course,Sushi Restaurant,Café,American Restaurant
223,80916,Hotel,Convenience Store,Airport Terminal,American Restaurant,Gym,Chinese Restaurant,Salon / Barbershop,Pharmacy,Gas Station,Pizza Place
224,80917,Pizza Place,Pet Service,Chinese Restaurant,Ice Cream Shop,Café,Convenience Store,Coffee Shop,Flea Market,Farm,Farmers Market
225,80918,Intersection,Trail,Cosmetics Shop,Business Service,Pharmacy,Sports Bar,Construction & Landscaping,Cuban Restaurant,Music Venue,Sandwich Place
226,80919,Trail,Pizza Place,Coffee Shop,Fast Food Restaurant,Shopping Mall,Sandwich Place,Video Store,American Restaurant,Salon / Barbershop,Pharmacy
227,80920,Coffee Shop,Bank,Pizza Place,Park,Convenience Store,Sushi Restaurant,Chinese Restaurant,Martial Arts Dojo,Thai Restaurant,Gym / Fitness Center
228,80921,Coffee Shop,Pizza Place,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Sandwich Place,Convenience Store,Restaurant,Skating Rink,Department Store
229,80922,Intersection,Pet Store,Baseball Stadium,Electronics Store,Dive Bar,Zoo,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio
230,80924,Dog Run,Trail,Gift Shop,Market,Ski Lodge,Restaurant,Golf Course,Ski Trail,Grocery Store,Hotel
231,80925,Event Service,Cafeteria,Zoo,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
232,81001,Gas Station,Fast Food Restaurant,Discount Store,Convenience Store,Pizza Place,Grocery Store,Video Store,Chinese Restaurant,Park,Mexican Restaurant
233,81003,Deli / Bodega,Bowling Alley,Convenience Store,Pizza Place,Hobby Shop,BBQ Joint,Flower Shop,Farm,Farmers Market,Fast Food Restaurant
234,81004,Fast Food Restaurant,Discount Store,American Restaurant,Grocery Store,Gas Station,Sandwich Place,Mexican Restaurant,Hotel,Fried Chicken Joint,Pizza Place
235,81005,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Italian Restaurant,Discount Store,Gas Station,Sushi Restaurant,American Restaurant,Bar
236,81006,Mexican Restaurant,Business Service,Restaurant,Bar,Café,Grocery Store,Zoo,Fast Food Restaurant,Film Studio,Financial or Legal Service
237,81007,Fast Food Restaurant,Pizza Place,Coffee Shop,Chinese Restaurant,American Restaurant,Home Service,Sandwich Place,Gas Station,Big Box Store,Mexican Restaurant
238,81008,Fried Chicken Joint,Hospital,Music Store,Furniture / Home Store,Tex-Mex Restaurant,Shoe Store,Drugstore,Pet Store,Clothing Store,Sandwich Place
239,81020,Trail,Market,Historic Site,Café,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
240,81023,Park,Bar,Home Service,Zoo,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
241,81030,Women's Store,Nightlife Spot,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
242,81036,Sandwich Place,Restaurant,Truck Stop,Coffee Shop,Hotel,Zoo,Factory,Falafel Restaurant,Farm,Farmers Market
243,81040,Campground,Bar,Scenic Lookout,Zoo,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
244,81047,Baseball Field,Convenience Store,Construction & Landscaping,Motel,Zoo,Food & Drink Shop,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
245,81049,Convenience Store,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
246,81050,Fast Food Restaurant,Gas Station,Mexican Restaurant,Discount Store,Pizza Place,Video Game Store,Diner,Sandwich Place,Park,Breakfast Spot
247,81052,Fast Food Restaurant,Gas Station,Sandwich Place,Pizza Place,Restaurant,Chinese Restaurant,Hotel,Thai Restaurant,Grocery Store,Big Box Store
248,81054,Hotel,Food,Fast Food Restaurant,Café,Pizza Place,Convenience Store,Discount Store,American Restaurant,Farmers Market,Film Studio
249,81055,Grocery Store,American Restaurant,Bakery,BBQ Joint,Frozen Yogurt Shop,Fondue Restaurant,Farmers Market,Furniture / Home Store,Fast Food Restaurant,Film Studio
250,81057,Baseball Field,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store,Flea Market
251,81058,Farmers Market,Gift Shop,Zoo,Food,Farm,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
252,81063,Restaurant,Café,Discount Store,Grocery Store,Zoo,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
253,81067,Steakhouse,Food Service,Mexican Restaurant,Café,Grocery Store,Pizza Place,Sandwich Place,Business Service,American Restaurant,Fast Food Restaurant
254,81069,Home Service,Music Venue,Park,Campground,Construction & Landscaping,Mountain,American Restaurant,Scenic Lookout,Zoo,Farmers Market
255,81073,Nature Preserve,Convenience Store,Sandwich Place,American Restaurant,Discount Store,Golf Course,Bus Station,Gas Station,Department Store,Fishing Spot
256,81077,Convenience Store,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
257,81082,Hotel,Fast Food Restaurant,Café,American Restaurant,Gas Station,Pizza Place,Mexican Restaurant,Deli / Bodega,Gym / Fitness Center,Rest Area
258,81089,Hotel,Grocery Store,Discount Store,Convenience Store,Gas Station,Fast Food Restaurant,Fried Chicken Joint,Mexican Restaurant,Café,Golf Course
259,81090,Gun Range,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
260,81091,American Restaurant,Campground,Lake,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
261,81092,Convenience Store,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
262,81101,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Hotel,Discount Store,Sandwich Place,Coffee Shop,American Restaurant,Grocery Store,Department Store
263,81120,Gas Station,Discount Store,Train Station,Grocery Store,Motel,French Restaurant,Forest,Fruit & Vegetable Store,Farmers Market,Fast Food Restaurant
264,81121,Bar,Convenience Store,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
265,81122,Lake,Trail,Resort,Mexican Restaurant,Gym / Fitness Center,Food,Other Great Outdoors,Flower Shop,Farm,Farmers Market
266,81123,Café,Convenience Store,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
267,81125,Discount Store,Mexican Restaurant,Convenience Store,Construction & Landscaping,Business Service,Zoo,Food,Fast Food Restaurant,Film Studio,Financial or Legal Service
268,81130,Art Gallery,Pet Service,Restaurant,Fishing Spot,Outdoor Supply Store,Food,Zoo,Farm,Farmers Market,Fast Food Restaurant
269,81132,Hotel,Brewery,Sandwich Place,Restaurant,American Restaurant,Pharmacy,Home Service,Jewelry Store,Gas Station,Mexican Restaurant
270,81137,Casino,Bank,Mexican Restaurant,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Convenience Store,Café,Grocery Store,Flower Shop
271,81140,Construction & Landscaping,Carpet Store,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
272,81143,Hotel Pool,Trail,Zoo,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
273,81144,Fast Food Restaurant,Grocery Store,Gas Station,American Restaurant,Mexican Restaurant,Chinese Restaurant,Pizza Place,Sandwich Place,Golf Course,Hotel
274,81146,State / Provincial Park,Campground,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
275,81147,Coffee Shop,Mexican Restaurant,Convenience Store,Brewery,American Restaurant,Breakfast Spot,Hotel,Hot Spring,Fast Food Restaurant,Restaurant
276,81149,Gas Station,Bakery,Mexican Restaurant,History Museum,Convenience Store,Food,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
277,81152,Sculpture Garden,Zoo,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
278,81154,Grocery Store,Bed & Breakfast,Reservoir,Restaurant,Discount Store,Hotel,American Restaurant,RV Park,Burger Joint,Mexican Restaurant
279,81201,Café,Gas Station,Pizza Place,American Restaurant,Coffee Shop,Hotel,Fast Food Restaurant,Mexican Restaurant,Bed & Breakfast,BBQ Joint
280,81210,Lake,Hotel,Harbor / Marina,Campground,American Restaurant,Other Great Outdoors,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio
281,81211,Gas Station,American Restaurant,Campground,Burger Joint,Sandwich Place,Coffee Shop,Mountain,Steakhouse,Breakfast Spot,Sporting Goods Shop
282,81212,Fast Food Restaurant,Burger Joint,Hotel,Sandwich Place,Rafting,Pizza Place,American Restaurant,Mexican Restaurant,Theme Park Ride / Attraction,Coffee Shop
283,81223,Food,Farm,Campground,Construction & Landscaping,Trail,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
284,81224,Hotel,American Restaurant,Bar,Coffee Shop,Sporting Goods Shop,Pizza Place,Burrito Place,Restaurant,Ski Area,Burger Joint
285,81225,Hotel,American Restaurant,Ski Area,Bar,Park,Gas Station,Trail,Ski Trail,BBQ Joint,Restaurant
286,81226,Automotive Shop,Shop & Service,Coffee Shop,Skydiving Drop Zone,Fast Food Restaurant,Diner,Restaurant,Gas Station,Brewery,Japanese Restaurant
287,81230,Fast Food Restaurant,Hotel,Coffee Shop,Mexican Restaurant,Grocery Store,Breakfast Spot,Bank,Chinese Restaurant,Sandwich Place,Campground
288,81235,Brewery,Restaurant,Coffee Shop,Pizza Place,Gift Shop,Southern / Soul Food Restaurant,American Restaurant,Bakery,Gastropub,Ice Cream Shop
289,81236,Convenience Store,Scenic Lookout,Resort,Campground,Restaurant,Hot Spring,Hotel,Film Studio,Fishing Spot,Financial or Legal Service
290,81240,Café,Sandwich Place,Breakfast Spot,Tailor Shop,Business Service,Hot Spring,Farm,Fried Chicken Joint,Farmers Market,Fast Food Restaurant
291,81243,Hotel,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
292,81252,Park,Construction & Landscaping,Discount Store,American Restaurant,Coffee Shop,Sandwich Place,Zoo,Fondue Restaurant,Farmers Market,Fast Food Restaurant
293,81301,Hotel,Mexican Restaurant,Pizza Place,Coffee Shop,Brewery,Café,American Restaurant,Bar,Sandwich Place,Breakfast Spot
294,81303,Construction & Landscaping,Discount Store,Dive Bar,Gas Station,Breakfast Spot,Sandwich Place,Hardware Store,Café,Convenience Store,Flea Market
295,81321,Fast Food Restaurant,American Restaurant,Hotel,Coffee Shop,Mexican Restaurant,Sandwich Place,Construction & Landscaping,Gym,Sushi Restaurant,Tourist Information Center
296,81323,Brewery,Discount Store,Burger Joint,History Museum,American Restaurant,Liquor Store,Motorsports Shop,Coffee Shop,Food,Film Studio
297,81324,Gas Station,Airport Terminal,Café,Farm,Food Court,Breakfast Spot,Frozen Yogurt Shop,Fondue Restaurant,Fast Food Restaurant,Film Studio
298,81326,Café,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store,Flea Market
299,81328,State / Provincial Park,Organic Grocery,Brewery,Bakery,Café,American Restaurant,Bed & Breakfast,Grocery Store,Financial or Legal Service,Fishing Spot
300,81401,Fast Food Restaurant,Hotel,Coffee Shop,Mexican Restaurant,Pizza Place,Brewery,American Restaurant,Ice Cream Shop,Sandwich Place,Golf Course
301,81410,Motorcycle Shop,Zoo,Food & Drink Shop,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store,Flea Market
302,81413,Construction & Landscaping,Sandwich Place,History Museum,Park,Resort,Ice Cream Shop,Pizza Place,Discount Store,American Restaurant,Hotel
303,81415,State / Provincial Park,Harbor / Marina,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
304,81416,Fast Food Restaurant,Gas Station,Grocery Store,Italian Restaurant,Discount Store,Sandwich Place,Pizza Place,Taco Place,Hotel,Big Box Store
305,81418,Gas Station,Dessert Shop,Lake,Antique Shop,Food & Drink Shop,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
306,81419,Grocery Store,Gas Station,Mexican Restaurant,Organic Grocery,Coffee Shop,Zoo,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
307,81422,Heliport,Zoo,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
308,81423,Deli / Bodega,Stables,Motel,Playground,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
309,81425,Construction & Landscaping,Furniture / Home Store,Farmers Market,Park,Wine Shop,Hunting Supply,Discount Store,Zoo,Fondue Restaurant,Fast Food Restaurant
310,81427,Hotel,Trail,Dessert Shop,Pub,Brewery,American Restaurant,Italian Restaurant,Market,Scenic Lookout,Burger Joint
311,81428,Brewery,Gourmet Shop,Park,Coffee Shop,Food,Hotel,Motel,Sandwich Place,Farmers Market,Fast Food Restaurant
312,81432,Brewery,American Restaurant,Liquor Store,Asian Restaurant,Taco Place,Food Truck,Hot Spring,Hotel,Fishing Store,Thai Restaurant
313,81433,Trail,Campground,History Museum,Mountain,American Restaurant,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
314,81434,Moving Target,Vacation Rental,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
315,81435,Hotel,Ski Area,Pizza Place,New American Restaurant,Resort,Coffee Shop,Ski Chairlift,Marijuana Dispensary,Grocery Store,Gastropub
316,81501,Fast Food Restaurant,Pizza Place,Coffee Shop,Mexican Restaurant,Dessert Shop,Shipping Store,Sandwich Place,Liquor Store,Park,Music Venue
317,81503,Mexican Restaurant,Coffee Shop,Pizza Place,Hotel,Grocery Store,Salon / Barbershop,Pub,Train Station,Fast Food Restaurant,Diner
318,81504,Gun Shop,Other Repair Shop,ATM,Construction & Landscaping,Paper / Office Supplies Store,Mexican Restaurant,Transportation Service,Pharmacy,Fast Food Restaurant,Pizza Place
319,81505,Grocery Store,Clothing Store,Mexican Restaurant,Furniture / Home Store,Coffee Shop,Restaurant,Movie Theater,Lingerie Store,Fast Food Restaurant,Cosmetics Shop
320,81506,Hotel,Italian Restaurant,Motel,Liquor Store,Fast Food Restaurant,Coffee Shop,American Restaurant,Diner,Sushi Restaurant,Gas Station
321,81520,Pizza Place,Fast Food Restaurant,Mexican Restaurant,Fried Chicken Joint,Sandwich Place,Convenience Store,Business Service,Grocery Store,Bank,Auto Garage
322,81521,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,Café,Brewery,Coffee Shop,Gas Station,Golf Course,Taco Place
323,81524,Laundry Service,Stables,Park,Roof Deck,Home Service,Zoo,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
324,81526,Winery,Brewery,Distillery,Park,Bar,Trail,Café,Pizza Place,Sandwich Place,Hotel
325,81601,Coffee Shop,Pizza Place,Theme Park,Hotel,Hot Spring,Brewery,Fast Food Restaurant,American Restaurant,Trail,Burger Joint
326,81611,American Restaurant,Hotel,Ski Area,Italian Restaurant,Trail,Sandwich Place,Park,Ski Lodge,Resort,Restaurant
327,81615,Hotel,Resort,Restaurant,Ski Area,Bar,Pizza Place,American Restaurant,Coffee Shop,Grocery Store,Trail
328,81620,Hotel,Coffee Shop,Mexican Restaurant,Pizza Place,Residential Building (Apartment / Condo),Resort,Liquor Store,French Restaurant,Italian Restaurant,Spa
329,81621,Convenience Store,Italian Restaurant,Market,Restaurant,Pizza Place,Sandwich Place,Coffee Shop,Clothing Store,Café,Sporting Goods Shop
330,81623,Bar,Coffee Shop,Sandwich Place,Pizza Place,Trail,Mexican Restaurant,Campground,Gym / Fitness Center,Grocery Store,Park
331,81624,Food,Bus Station,Pet Store,Hunting Supply,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
332,81625,Gas Station,Fast Food Restaurant,Hotel,Coffee Shop,Grocery Store,Pharmacy,Sandwich Place,Bank,Pizza Place,Food
333,81630,Gas Station,River,Smoke Shop,Mountain,Sandwich Place,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant
334,81631,Coffee Shop,Gas Station,Golf Course,Brewery,Fast Food Restaurant,Hotel,Trail,Sandwich Place,Rest Area,BBQ Joint
335,81632,American Restaurant,Italian Restaurant,Pizza Place,Golf Course,Restaurant,Burger Joint,Grocery Store,Mexican Restaurant,Sushi Restaurant,Bookstore
336,81635,Mountain,Zoo,Food & Drink Shop,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store,Flea Market
337,81637,Rental Car Location,Gas Station,Airport Terminal,Travel & Transport,Bar,Scenic Lookout,Discount Store,River,Trail,Airport Service
338,81639,Rental Car Location,Airport,American Restaurant,Gas Station,Pizza Place,Construction & Landscaping,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant
339,81641,Gas Station,Pizza Place,Italian Restaurant,Dentist's Office,Department Store,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
340,81645,Trail,Garden Center,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
341,81647,Hotel,Gas Station,Motel,Café,Lake,Grocery Store,American Restaurant,Pizza Place,Bar,Chinese Restaurant
342,81648,Pizza Place,Discount Store,Sandwich Place,Coffee Shop,Gas Station,Hotel,Convenience Store,Fishing Store,Fishing Spot,Zoo
343,81650,Gas Station,Chinese Restaurant,Fried Chicken Joint,Golf Course,Food & Drink Shop,Grocery Store,Furniture / Home Store,Wings Joint,Dentist's Office,Film Studio
344,81652,Auto Workshop,Candy Store,Clothing Store,Home Service,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
345,81654,Breakfast Spot,Art Gallery,Theater,Mountain,Lake,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
346,81657,Ski Area,American Restaurant,Hotel,Resort,New American Restaurant,Pizza Place,Spa,Coffee Shop,Ski Lodge,Plaza
